#
# Correspondance between agency quality codes and BoM quality codes and SOS2
# qualifier.
#
# The table was extracted 
# from http://www.bom.gov.au/water/hrs/qc_doc.shtml
#
# Correspondance between BoM quality codes and SOS2 qualifier was found in
# http://www.bom.gov.au/waterdata/wiski-web-public/Guide%20to%20Sensor%20Observation%20Services%20(SOS2)%20for%20Water%20Data%20%20Online%20v1.0.1.pdf
# 
State,Agency,Agency Quality Code,Description,Bureau Quality code,SOS2 qualifier
NSW,DILW,68,Pre 1 Nov 1996 - RATINGS/TS - Record processed prior to 1/11/96 considered poor,B,90
NSW,DILW,69,Pre 21 Aug 2004 - RATINGS - Rating table gaugings >=5 Less than 95% within 30% of curve,F,210
NSW,DILW,71,GAUGINGS - Part Gauged/ Estimated,F,210
NSW,DILW,75,Pre 21 Aug 2004 - RATINGS - Reasonable estimate where rating derived by one method,C,110
NSW,DILW,77,"Pre 21 Aug 2004 - RATINGS/TS - Data limited by client specifications - Poor measured data, time +/- 2 hour",B,90
NSW,DILW,80,"Pre 1 Nov 1996 - RATINGS - Rating processed prior to 1/11/96, coded estimated (poor)",C,110
NSW,DILW,82,Pre 21 Aug 2004 - RATINGS - Good estimate where rating has 3 methods agreeing to 10%,C,110
NSW,DILW,91,Pre 21 Aug 2004 - RATINGS - Fair estimate where rating has 2 methods agreeing to 20%,C,110
NSW,DILW,94,"Pre 1 Nov 1996 - RATINGS - Rating processed prior to 1/11/96, coded extrapolated - good",C,110
NSW,DILW,95,"Pre 1 Nov 1996 - RATINGS - Rating processed prior to 1/11/96, coded extrapolated - fair",C,110
NSW,DILW,100,Quality unknown,E,140
NSW,DILW,130,Not quality coded - subject to change,E,140
NSW,DILW,140,RATINGS - Current rating - may be subject to change.,E,140
NSW,DILW,145,TS - Telemetry system added point,E,140
NSW,DILW,151,Pre Aug 2004 QC - Data Not Available,F,210
NSW,DILW,152,Pre 21 Aug 2004 - RATINGS/TS - Backwater affected - see comments,F,210
NSW,DILW,153,GAUGINGS - Invalid Gauging,F,210
NSW,DILW,180,"Rating table out of range, no flow available",F,210
NSW,DILW,201,Data unavailable,F,210
NSW,DILW,255,Data Unavailable,F,210
NSW,NSW Water,5,  Good quality edited data,A,10
NSW,NSW Water,6,  Reasonably good quality edited data,B,90
NSW,NSW Water,7,  Good quality contractor supplied data,A,10
NSW,NSW Water,8,  Good quality data but standards compromised to meet client   requirements,B,90
NSW,NSW Water,10,  Good quality digitized data,A,10
NSW,NSW Water,11,  Good quality record processed pre-1995 and coded either 5 or 6,B,90
NSW,NSW Water,12,  Good quality telemetered data,A,10
NSW,NSW Water,19,  Good quality rating extrapolation,B,90
NSW,NSW Water,20,  Good qual theoretical rating-Standard primary device e.g. weir,B,90
NSW,NSW Water,25,  Good quality daily totals derived from logged data,A,10
NSW,NSW Water,26,  Good quality daily read records,A,10
NSW,NSW Water,28,  Good quality cumulative total for daily readings after an unread   period,A,10
NSW,NSW Water,29,  Daily read gauge not read,B,90
NSW,NSW Water,30,  Below sensor with NO flow conditions,B,90
NSW,NSW Water,31,  Evaporation pan overflowed - nil evap.,A,10
NSW,NSW Water,35,  Good quality data with fog,B,90
NSW,NSW Water,36,  Good quality snow data,A,10
NSW,NSW Water,39,  Below instrument threshold,B,90
NSW,NSW Water,40,  Good quality estimate (correlation or other reliable method),A,10
NSW,NSW Water,55,  Fair quality edited data,B,90
NSW,NSW Water,57,  Fair quality contractor supplied data,C,110
NSW,NSW Water,58,  Fair quality data but standards compromised to meet customer   requirements,C,110
NSW,NSW Water,60,  Fair quality digitised data,B,90
NSW,NSW Water,61,  Fair quality record processed pre 1995 and quality coded 55,C,110
NSW,NSW Water,62,  Fair quality telemetered data,B,90
NSW,NSW Water,69,  Fair quality rating extrapolation,C,110
NSW,NSW Water,70,  Fair quality theoretical rating derived by two or more means and   not substantiated by discharge observations,B,90
NSW,NSW Water,75,  Fair quality daily totals derived from daily read data,B,90
NSW,NSW Water,76,  Fair quality daily read record,B,90
NSW,NSW Water,78,  Fair quality cumulative total for daily readings after an unread   period,B,90
NSW,NSW Water,79,  Fair quality daily read gauge not read,B,90
NSW,NSW Water,85,  Fair quality data with fog,B,90
NSW,NSW Water,86,  Fair quality snow data,B,90
NSW,NSW Water,90,  Fair quality estimation (correlation or other method),B,90
NSW,NSW Water,105,  Poor quality edited data,E,140
NSW,NSW Water,107,  Poor quality contractor supplied data,E,140
NSW,NSW Water,108,  Poor quality data - standards compromised to meet client   specifications prior to December 2003,E,140
NSW,NSW Water,110,  Poor quality digitised data,E,140
NSW,NSW Water,111,  Poor quality records processed pre 1995 and quality coded 105,E,140
NSW,NSW Water,112,  Poor quality telemetered data,E,140
NSW,NSW Water,119,  Poor quality rating extrapolation,E,140
NSW,NSW Water,120,  Poor quality theoretical rating using one formal method of   extension & has not been substantiated by discharge observations,E,140
NSW,NSW Water,125,  Poor quality daily totals derived from logged data,E,140
NSW,NSW Water,126,  Poor quality daily read records,E,140
NSW,NSW Water,128,  Poor quality cumulative total for daily readings after an unread   period,E,140
NSW,NSW Water,129,  Poor quality daily read gauge not read,E,140
NSW,NSW Water,135,  Poor quality data with fog,E,140
NSW,NSW Water,136,  Poor quality data with snow,E,140
NSW,NSW Water,140,  Estimate that reasonably reflects the actual event with edit     comments inserted to explain method of estimation,E,140
NSW,NSW Water,149,  Contractors data supplied without quality codes,E,140
NSW,NSW Water,150,  Data not yet quality coded,E,140
NSW,NSW Water,151,  Backwater affected,E,140
NSW,NSW Water,152,  Data for which quality,E,140
NSW,NSW Water,160,  Above instrument threshold (Range of instrument exceeded),E,140
NSW,NSW Water,161,  SENSOR OUT OF WATER WITH FLOW,E,140
NSW,NSW Water,162,  SENSOR OUT OF WATER WITH NO FLOW,E,140
NSW,NSW Water,181,  Time of sample not known - data satisfactory,E,140
NSW,NSW Water,201,  Data not recorded - logger/sensor not installed,F,210
NSW,NSW Water,202,  Data not available for release (e.g. requires extensive editing),F,210
NSW,NSW Water,204,  Data lost due to vandalism,F,210
NSW,NSW Water,205,  Data lost,F,210
NSW,NSW Water,207,  Contractors data lost or not recorded,F,210
NSW,NSW Water,255,  Hydsys default - no data,F,210
NT,DENR,1,Good - continuous data,A,10
NT,DENR,2,good quality - continuous data - some minor editing,A,10
NT,DENR,6,Good Point data-manually entered which adequately represents continuous record,A,10
NT,DENR,7,Good Isolated Point,A,10
NT,DENR,11,Good Gauging,A,10
NT,DENR,41,Good Rating,A,10
NT,DENR,45,Good Rating Extrapolated,A,10
NT,DENR,51,Satisfactory - continuous data,B,90
NT,DENR,52,Satisfactory - estimated continuous data,B,90
NT,DENR,56,Satisfactory Point data—manually entered—which adequately represents data,B,90
NT,DENR,57,Satisfactory Isolated Point,B,90
NT,DENR,61,Satisfactory Gauging,B,90
NT,DENR,91,Satisfactory Rating,B,90
NT,DENR,95,Satisfactory Rating - extrapolated,B,90
NT,DENR,101,Poor - continuous data,B,90
NT,DENR,102,Poor - estimated continuous data,B,90
NT,DENR,106,Poor Point data manually entered,B,90
NT,DENR,107,Poor Isolated Point,B,90
NT,DENR,109,Estimated Data - original lost,C,110
NT,DENR,111,Poor Gauging,B,90
NT,DENR,141,Poor Rating,B,90
NT,DENR,142,Telemetry data. No visual verification. Final quality code not yet assigned.,E,140
NT,DENR,145,Poor rating - extrapolated,B,90
NT,DENR,146,"Rating based on theoretical method, use with caution",C,110
NT,DENR,149,Gauging with no Calibration Reading,E,140
NT,DENR,150,Rating under Review - not Quality Coded,E,140
NT,DENR,151,Blank or no data (Met. Bureau rainfall only),F,210
NT,DENR,152,Incomplete record,E,140
NT,DENR,162,Severe tidal influence - not to be integrated,E,140
NT,DENR,170,"Data not processed [Historic, Q=Y]",E,140
NT,DENR,171,Data awaiting editing and quality coding.,E,140
NT,DENR,172,Isolated point - no integration/not quality coded,E,140
NT,DENR,173,Tidal influence- Orig. data (VAR=100)+ Integrated data (VAR=102,E,140
NT,DENR,174,Vax conversion code: data to be Edited to another Qual. code,E,140
NT,DENR,175,Dry - below orifice,B,90
NT,DENR,176,Wet - below orifice,B,90
NT,DENR,190,"Missing record, gap auto filled.",F,210
NT,DENR,192,Lookup Table - exceeded,F,210
NT,DENR,250,"Non-sensible record - used for Time or below Inlet, above CTF",F,210
NT,DENR,251,"Non-sensible record, sensor outranged",F,210
NT,DENR,252,Sensor broken,F,210
NT,DENR,253,Logger broken,F,210
NT,DENR,254,No Recorded Data (Instrumentation removed),F,210
NT,DENR,255,No Record or Record Lost,F,210
QLD,DNRME,1,Good (actual),A,10
QLD,DNRME,9,CITEC - Normal Reading,A,10
QLD,DNRME,10,Good,A,10
QLD,DNRME,15,Water level below threshold (no flow),A,10
QLD,DNRME,19,CITEC - No Flow Reading,A,10
QLD,DNRME,20,Fair,A,10
QLD,DNRME,26,BOM data - Good Daily Read Records,A,10
QLD,DNRME,30,Poor,B,90
QLD,DNRME,31,Gauging temp - Good,A,10
QLD,DNRME,32,Gauging temp - Fair,A,10
QLD,DNRME,33,Gauging temp - Poor,B,90
QLD,DNRME,34,Gauging temp - composite,B,90
QLD,DNRME,35,Gauging temp - equipment problems causing incomplete gauging - suspect procedures and methods. Possible inflow between gauging and station.,B,90
QLD,DNRME,36,Gauging temp - Velocity measurements taken on surface only or velocity measurements with floats.,B,90
QLD,DNRME,37,Gauging temp - Discharge correlated from U/S or D/S stations.,B,90
QLD,DNRME,38,Gauging temp - Interim code for data transferred from CITEC. Data not yet Quality Coded.,E,140
QLD,DNRME,39,Gauging temp - Data of No Value,F,210
QLD,DNRME,59,CITEC - Derived Height,A,10
QLD,DNRME,60,Estimate,C,110
QLD,DNRME,69,CITEC - Derived Discharge,A,10
QLD,DNRME,79,CITEC - Backwater Record,B,90
QLD,DNRME,80,BOM data - Accumulated,A,10
QLD,DNRME,119,Old - Gauge Ht > instrument threshold,C,110
QLD,DNRME,130,Not coded value,E,140
QLD,DNRME,140,Interim value,E,140
QLD,DNRME,150,Unknown,E,140
QLD,DNRME,151,Data not yet available,F,210
QLD,DNRME,160,Suspect,F,210
QLD,DNRME,170,Water level above threshold,F,210
QLD,DNRME,180,Old - Gauge Height < Instrument Threshold,F,210
QLD,DNRME,200,Water level below threshold,F,210
SA,DEWNR,1,Good,A,10
SA,DEWNR,25,Operational Data,A,10
SA,DEWNR,30,Fair,B,90
SA,DEWNR,31,Fair - Estimated,C,110
SA,DEWNR,36,Fair - Extrapolated Rating,B,90
SA,DEWNR,37,Fair - Theoretical Rating,B,90
SA,DEWNR,40,Fair - Extrapolated Rating,C,110
SA,DEWNR,41,Fair - Theoretical Rating,C,110
SA,DEWNR,54,Fair - Smoothed Data,B,90
SA,DEWNR,80,Fair - Accumulated Data,B,90
SA,DEWNR,81,Fair - Accumulated Total,B,90
SA,DEWNR,82,Fair - Straight Line Interpolation Between Points,B,90
SA,DEWNR,84,Fair - Rainfall Less Than 0.2mm,B,90
SA,DEWNR,85,Fair - Redistributed Accumulated Daily Data,C,110
SA,DEWNR,90,Poor,C,110
SA,DEWNR,91,Poor - Estimated,C,110
SA,DEWNR,100,Poor - Extrapolated Rating,C,110
SA,DEWNR,101,Poor - Theoretical Rating,C,110
SA,DEWNR,102,Poor - Extrapolated Rating,C,110
SA,DEWNR,108,Poor - Theoretical Rating,C,110
SA,DEWNR,127,Poor - Nil Daily Record within Accumulated Period,C,110
SA,DEWNR,128,Poor - Accumulated Total for Preceding Period of Daily Data.,C,110
SA,DEWNR,129,Poor - Distributed Total,C,110
SA,DEWNR,130,Water Level Below Recordable Range,E,140
SA,DEWNR,132,Quality Unknown,E,140
SA,DEWNR,150,Unverified Telemetered Data,E,140
SA,DEWNR,153,Not Recorded - Outside Recordable Range,F,210
SA,DEWNR,154,Not Operating,F,210
SA,DEWNR,201,Missing,F,210
SA,DEWNR,202,Missing - Outside Rating Range,F,210
TAS,DPIPWE,1,Excellent Data,A,10
TAS,DPIPWE,3,Excellent Rating,A,10
TAS,DPIPWE,11,Good Data,A,10
TAS,DPIPWE,13,Good Rating,A,10
TAS,DPIPWE,21,Fair Data,B,90
TAS,DPIPWE,22,Good Estimate,B,90
TAS,DPIPWE,23,Fair Rating,B,90
TAS,DPIPWE,24,Good Theoretical Rating,B,90
TAS,DPIPWE,25,Forecast data from modelling program,C,110
TAS,DPIPWE,29,"Data from external source, minor checking and editing completed.",E,140
TAS,DPIPWE,30,"Data from external source, no checking or editing done.",E,140
TAS,DPIPWE,31,Poor,C,110
TAS,DPIPWE,32,Fair Estimated data,C,110
TAS,DPIPWE,33,Poor Rating,C,110
TAS,DPIPWE,34,Fair estimated rating,C,110
TAS,DPIPWE,42,Poor estimated data,C,110
TAS,DPIPWE,44,Poor estimated rating,C,110
TAS,DPIPWE,101,Data checked and found unreliable,E,140
TAS,DPIPWE,141,SCADA data not verified.,E,140
TAS,DPIPWE,142,Telemetry data not verified.,E,140
TAS,DPIPWE,145,Failed minimum range check,E,140
TAS,DPIPWE,146,Failed maximum range check,E,140
TAS,DPIPWE,147,Non Conforming data. Known Errors.,E,140
TAS,DPIPWE,150,Unverified Data or Rating. Final quality yet to be assigned.,E,140
TAS,DPIPWE,180,Unprocessed Record,F,210
TAS,DPIPWE,190,Lost record or insufficient data for reasonable archive,F,210
TAS,DPIPWE,200,No data available for this period,F,210
TAS,DPIPWE,201,Rating application error,F,210
TAS,DPIPWE,202,Data point below lower limit of rating,F,210
TAS,DPIPWE,203,Data point above upper limit of rating,F,210
TAS,DPIPWE,204,No rating for chosen period of data,F,210
TAS,DPIPWE,205,No applicable rating,F,210
TAS,DPIPWE,210,Undefined Vector,F,210
TAS,DPIPWE,211,Integration method not appropriate,F,210
TAS,DPIPWE,212,Differentiation method not appropriate,F,210
TAS,DPIPWE,213,Data type change or other error - No Aggregation,F,210
TAS,DPIPWE,214,Data type change or other error - No Interpolation,F,210
TAS,DPIPWE,220,Value of time series point unknown,F,210
TAS,DPIPWE,225,Serial Run Gap. Check reason then assign appropriate code,F,210
TAS,DPIPWE,230,User specified limits exceeded in analysis,F,210
TAS,HydroTAS,1,Excellent Data,E,140
TAS,HydroTAS,3,Excellent Rating,E,140
TAS,HydroTAS,5,"NEM Energy Metering, Actual Meter",E,140
TAS,HydroTAS,7,Good data.  Confirmed by site visit.  (Dam Safety data only),E,140
TAS,HydroTAS,11,Good Data,E,140
TAS,HydroTAS,13,Good Rating,E,140
TAS,HydroTAS,21,Fair Data,E,140
TAS,HydroTAS,22,Good Estimated Data.,E,140
TAS,HydroTAS,23,Fair Rating,E,140
TAS,HydroTAS,24,Good Extrapolated Rating,E,140
TAS,HydroTAS,25,Modelled or Derived data. Includes forecast data or data derived from ratings etc.,E,140
TAS,HydroTAS,27,Interim code for telemetered data visually checked on graphical editor against appropriate comparison plots. No fault found but a more definitive final code cannot be assigned until after a field visit.,E,140
TAS,HydroTAS,29,Data from source external to Resource Monitoring & Information Group. Minor checking & editing may have been done.,E,140
TAS,HydroTAS,30,No requirement for Quality Coding and/or checking or editing.  Data is often from source external to Resource Monitoring & Information Group.,E,140
TAS,HydroTAS,31,Poor Data,E,140
TAS,HydroTAS,32,Fair Estimated Data,E,140
TAS,HydroTAS,33,Poor Rating,E,140
TAS,HydroTAS,34,Fair Extrapolated Rating,E,140
TAS,HydroTAS,40,Excluded Gauging. A gauging that has been formally identified and excluded as part of a rating review. The gauging comment will say why it was excluded. No code necessary.,E,140
TAS,HydroTAS,41,Important Comment ...,E,140
TAS,HydroTAS,42,Poor Estimated Data,E,140
TAS,HydroTAS,44,Poor Extrapolated Rating,E,140
TAS,HydroTAS,101,Data that has been checked and found to be unreliable.,F,210
TAS,HydroTAS,138,"NEM Energy Metering,  Estimated Energy Data",E,140
TAS,HydroTAS,139,"NEM Energy Metering, Final estimation or substitution",E,140
TAS,HydroTAS,140,Manually acquired.  Unverified data. May have been visually inspected. Final quality code not yet assigned.,E,140
TAS,HydroTAS,141,SCADA data. Not verified. Final quality code not yet assigned.,E,140
TAS,HydroTAS,142,Telemetry data.  Not verified. Final quality code not yet assigned.  [Same code marker (T) as Q149],E,140
TAS,HydroTAS,143,"Acquired data, not verified, flagged by source as suspect. For SCADA data the associated source Q code is 128.  Final quality code yet to be assigned.",E,140
TAS,HydroTAS,144,"NEM Energy Metering, Substitution",E,140
TAS,HydroTAS,145,Minimum range check threshold exceeded. Final quality code not yet assigned. Don’t tinker with it. It is also assigned in the system setup table See also Q155 and 191,E,140
TAS,HydroTAS,146,Maximum range check threshold exceeded. Final quality code not yet assigned. Don’t tinker with it. It is also assigned in the system setup table See also Q156 and 191,E,140
TAS,HydroTAS,147,Non conforming data. Known errors. LOW IMPACT. Final quality code not yet assigned.,E,140
TAS,HydroTAS,149,"Data from an EXTERNAL source.  No verification. Final quality code not assigned and, for many cases, it may never be assigned. [Same code marker (T) as Q142]",E,140
TAS,HydroTAS,150,Partial Statistic - some data missing in period.  A SYSTEM quality code applied to data when processing/outputting.  Not to be applied by individuals as a quality code when editing data.,F,210
TAS,HydroTAS,155,"Minimum range check threshold exceeded, data excluded from analysis. Data value is preserved. Used by automated range check scripts see also Q code 145 and 191",F,210
TAS,HydroTAS,156,"Maximum range check threshold exceeded, data excluded from analysis. Data value is preserved. Used by automated range check scripts see also Q code 146 and 191",F,210
TAS,HydroTAS,157,Control value not for inclusion in analysis,F,210
TAS,HydroTAS,160,Where a param val does not exist at that time (a); Null turbidity when 0 flow in a stream (b); Vals exceed range vals of deliberately limited range sensor (c); Input series to virtual out of range (d).,F,210
TAS,HydroTAS,170,Non conforming data. Known errors. HIGH IMPACT. Final quality code not yet assigned.,F,210
TAS,HydroTAS,180,"Unprocessed Record, data exists (e.g. charts) but not yet imported.",F,210
TAS,HydroTAS,190,"Lost record, erroneous data or insufficient data for reasonable archive; or DATA lost from an OPEN site.",F,210
TAS,HydroTAS,191,Lost data where out of range data deemed spurious has been amended as it was archived.  The data value is what the spurious value was clipped to. Pre-existing clips have not been converted to output to t,F,210
TAS,HydroTAS,200,No data available for this series for the period. Associated with series that are CLOSED and later RE-OPENED.  Do not confuse with QC190 that covers data that was lost from an OPEN site.,F,210
TAS,HydroTAS,201,Error occurred in applying rating equation to data,F,210
TAS,HydroTAS,202,Data point below lower limit of rating,F,210
TAS,HydroTAS,203,Data point above upper limit of rating,F,210
TAS,HydroTAS,204,Period found but specified rating does not exist,F,210
TAS,HydroTAS,205,No application period found for data point.     Rating period error.,F,210
TAS,HydroTAS,206,No conversion available,F,210
TAS,HydroTAS,207,Interpolation error. This may be caused by a timing error or by incompatible data types.,F,210
TAS,HydroTAS,208,Rating/conversion is non invertible.,F,210
TAS,HydroTAS,209,Chain conversion uses datum which is outside range of rating,F,210
TAS,HydroTAS,210,Undefined vector. Resultant vector has zero length.,F,210
TAS,HydroTAS,211,"Integration inappropriate for this data type - data types 3,4,7",F,210
TAS,HydroTAS,212,"Differentiation inappropriate for this data type - data types 2,3,4,7,8,9",F,210
TAS,HydroTAS,213,Data Type change or other problem encountered - no Aggregation allowed.,F,210
TAS,HydroTAS,214,Data Type change or other problem encountered - no Interpolation allowed.,F,210
TAS,HydroTAS,220,No value or quality associated with current point.,F,210
TAS,HydroTAS,225,Gap between time series records. Code assigned when gap is filled automatically by archiving operations. Check reason and then assign appropriate quality code,F,210
TAS,HydroTAS,230,Original quality in user specified exclusion range. Generated by QMax and QExclude transformations.,F,210
TAS,HydroTAS,255,Used for initialisation purposes,F,210
VIC,DELWP,1,Good continuous records,A,10
VIC,DELWP,2,Good quality edited data,A,10
VIC,DELWP,3,Linear infill to first value in block (no data lost),A,10
VIC,DELWP,4,Temporary coded for Currumbeene data,E,140
VIC,DELWP,5,Drawdown - chart rating applies,A,10
VIC,DELWP,6,Phased Rating Applicable - gradual changing of control & channel,A,10
VIC,DELWP,8,Pool reading only,A,10
VIC,DELWP,9,Pool dry - no data collected,A,10
VIC,DELWP,10,Data transposed from recorder chart,A,10
VIC,DELWP,13,Accurate derived data from multiple sources (level & flow),A,10
VIC,DELWP,14,Telemetry data not stored in archive,A,10
VIC,DELWP,15,Minor editing,A,10
VIC,DELWP,20,Edited to measurements,A,10
VIC,DELWP,26,Daily read records (MW - Good periodic data),A,10
VIC,DELWP,30,Good Meas. - mult. point; 40 sec timing (Good acc. data - MW),A,10
VIC,DELWP,31,Good Meas. - Adeq. verts & obs; 40 sec timing (Good acc. data - MW),A,10
VIC,DELWP,32,Fair Measurement - Weighted mean gauge height; turbulent flow; flow angle extreme,B,90
VIC,DELWP,35,Composite Measurement - Segments taken from several gaugings to create a composite,B,90
